service_date,day_type,bus,rail_boardings,total_rides
10/19/2023,W,579587,433975,1013562
10/18/2019,W,762811,778466,1541277
02/06/2015,W,959648,768091,1727739
02/02/2015,W,632367,563770,1196137
12/12/2004,U,388481,205786,594267
05/11/2009,W,1019002,620480,1639482
02/24/2015,W,901872,728674,1630546
05/02/2001,W,1034088,627894,1661982
12/24/2011,A,509237,262788,772025
08/22/2002,W,829797,533893,1363690
10/23/2012,W,1043067,784378,1827445
02/01/2007,W,1007882,616420,1624302
04/21/2017,W,819393,753932,1573325
05/29/2006,U,381213,245203,626416
02/01/2008,W,911151,593534,1504685
02/18/2007,U,394698,226617,621315
07/15/2008,W,1088616,655456,1744072
10/18/2009,U,494901,296936,791837
02/22/2024,W,587867,396466,984333
06/10/2011,W,991111,699233,1690344
03/13/2002,W,1022145,615718,1637863
07/23/2009,W,959920,673917,1633837
06/30/2023,W,473836,378120,851956
11/07/2021,U,211114,177817,388931
02/21/2016,U,378769,311190,689959
08/27/2014,W,874420,768933,1643353
10/22/2010,W,987323,727707,1715030
12/17/2013,W,883958,716650,1600608
03/20/2001,W,1034388,618340,1652728
03/04/2001,U,385978,178292,564270
12/17/2023,U,271335,184885,456220
01/04/2022,W,343163,202963,546126
11/16/2019,A,467987,398924,866911
12/23/2007,U,347895,184560,532455
07/20/2010,W,938739,692212,1630951
10/08/2003,W,1026066,693316,1719382
11/24/2013,U,362949,311868,674817
10/31/2009,A,698324,406844,1105168
03/26/2006,U,433649,234862,668511
10/06/2007,A,693470,430713,1124183
02/03/2016,W,925655,772821,1698476
10/14/2017,A,376288,368266,744554
09/18/2013,W,1023243,783471,1806714
10/12/2024,A,427732,369877,797609
02/23/2014,U,392042,315317,707359
10/18/2006,W,1035671,687285,1722956
02/26/2005,A,603707,304026,907733
05/01/2004,A,577088,282452,859540
07/20/2004,W,896643,606660,1503303
05/20/2009,W,1085546,664197,1749743
09/16/2022,W,508567,431965,940532
10/20/2013,U,417109,367355,784464
03/10/2007,A,645222,343183,988405
03/04/2011,W,1019568,681216,1700784
07/28/2010,W,908070,667607,1575677
05/07/2006,U,438858,258592,697450
03/22/2010,W,981316,617250,1598566
06/29/2018,W,748648,755938,1504586
04/10/2010,A,663179,440432,1103611
12/16/2006,A,632218,356756,988974
01/30/2004,W,756185,500887,1257072
03/16/2005,W,1011281,607649,1618930
03/24/2002,U,370997,190845,561842
06/28/2019,W,742317,717591,1459908
09/13/2023,W,593103,431950,1025053
06/22/2015,W,759346,731448,1490794
06/08/2002,A,649574,323142,972716
04/15/2018,U,300857,258277,559134
01/30/2021,A,192267,102119,294386
01/11/2003,A,506478,250051,756529
07/18/2016,W,774239,768719,1542958
04/10/2005,U,439237,244746,683983
11/23/2008,U,477070,243556,720626
04/23/2007,W,1021947,617017,1638964
03/10/2013,U,417260,285624,702884
11/14/2014,W,911150,794103,1705253
01/04/2011,W,946232,621057,1567289
11/25/2006,A,549875,317650,867525
11/22/2019,W,817445,782838,1600283
08/01/2015,A,574270,587633,1161903
06/05/2021,A,278036,199123,477159
08/14/2018,W,722447,739143,1461590
02/15/2011,W,1041367,702586,1743953
03/25/2008,W,1036465,596853,1633318
01/01/2015,U,300426,287754,588180
07/05/2004,U,420521,229820,650341
05/26/2003,U,380796,224023,604819
10/31/2020,A,224885,120080,344965
01/09/2019,W,747949,685444,1433393
07/17/2017,W,754669,741094,1495763
11/09/2015,W,923927,811177,1735104
01/22/2014,W,872967,737074,1610041
11/13/2011,U,463513,338816,802329
11/05/2002,W,994530,613203,1607733
01/31/2021,U,119669,75697,195366
01/26/2018,W,806770,722671,1529441
01/20/2014,W,599662,502485,1102147
09/09/2023,A,385592,323033,708625
02/24/2017,W,820536,723532,1544068
01/14/2005,W,894841,552090,1446931
04/06/2023,W,459977,353018,812995
07/12/2019,W,738700,777202,1515902
